Sample	Group
SRR13696777	544
SRR13696778	544
SRR13696779	544
SRR13696780	545
SRR13696781	545
SRR13696782	545
SRR13696783	546
SRR13696784	546
SRR13696785	546
SRR13696768	541
SRR13696769	541
SRR13718657	2096
SRR13718658	2097
SRR13718659	2097
SRR13718660	2097
SRR13718661	2098
SRR13718662	2098
SRR13718663	2098
SRR13718664	2099
SRR13718665	2099
SRR13718666	2099
SRR13718667	2100
SRR13718668	2100
SRR13718669	2100
SRR13718670	2101
SRR13718671	2101
SRR13718672	2101
SRR13718673	2102
SRR13718674	2102
SRR13718675	2102
SRR13718676	2103
SRR13718677	2103
SRR13718678	2103
SRR13718655	2104
SRR13718656	2104
SRR13718695	2105
SRR13718696	2105
SRR13718697	2105
SRR13718698	2105
SRR13718699	2106
SRR13718700	2106
SRR13718701	2106
SRR13718702	2106
SRR13718703	2107
SRR13718704	2107
SRR13718705	2107
SRR13718706	2107
SRR13718707	2108
SRR13718708	2108
SRR13718709	2108
SRR13718710	2108
SRR2000332	2109
SRR2000333	2110
SRR2000334	2111
SRR2000335	2112
SRR2000336	2113
SRR2000337	2109
SRR2000338	2110
SRR2000339	2111
SRR2000340	2112
SRR2000341	2113
SRR2000342	2109
SRR2000343	2110
SRR2000344	2111
SRR2000345	2112
SRR2000346	2113
SRR13889862	2114
SRR13889863	2114
SRR13889864	2114
SRR13889865	2115
SRR13889866	2115
SRR13889867	2115
SRR13889868	2115
SRR13889869	2116
SRR13889870	2116
SRR13889871	2116
SRR13889872	2116
SRR13899311	2117
SRR13899312	2117
SRR13899313	2117
SRR13899314	2118
SRR13899315	2118
SRR13899316	2118
SRR13927593	2119
SRR13927594	2119
SRR13927595	2119
SRR13927596	2120
SRR13927597	2120
SRR13927598	2120
SRR13927599	2121
SRR13927600	2121
SRR13927601	2121
SRR13927602	2122
SRR13927603	2122
SRR13927604	2122
SRR13927605	2123
SRR13927606	2123
SRR13927607	2123
SRR14085882	2124
SRR14085865	2141
SRR14138176	2154
SRR14138175	2154
SRR14138174	2155
SRR14138173	2155
SRR14138172	2156
SRR14138171	2156
SRR14138170	2156
SRR14138169	2157
SRR14138168	2157
SRR14138167	2157
SRR14138166	2158
SRR14138165	2158
SRR14138164	2154
SRR14138163	2158
SRR14138162	2159
SRR14138161	2159
SRR14138160	2159
SRR14138159	2160
SRR14138158	2160
SRR14138157	2160
SRR14138156	2161
SRR14138155	2161
SRR14138154	2161
SRR14138153	2155
SRR14196864	2156
SRR14196865	2156
SRR14196866	2157
SRR14196867	2157
SRR14196868	2158
SRR14196869	2158
SRR14196870	2159
SRR14196871	2159
SRR14196872	2160
SRR14196873	2160
SRR14196874	2161
SRR14196875	2161
SRR14236687	2162
SRR14236688	2163
SRR14236689	2164
SRR14236690	2165
SRR14236691	2162
SRR14236692	2163
SRR14236693	2164
SRR14236694	2165
SRR14236695	2162
SRR14236696	2163
SRR14236697	2164
SRR14236698	2165
SRR14311211	2166
SRR14311212	2166
SRR14311213	2167
SRR14311214	2167
SRR14311215	2168
SRR14311216	2168
SRR2078940	6006
SRR2078941	6006
SRR2078942	6006
SRR2078943	6007
SRR2078944	6007
SRR2078945	6007
SRR14424860	2170
SRR14424859	2170
SRR14424858	2170
SRR14424857	2170
SRR14460704	2171
SRR14460703	2171
SRR14460702	2171
SRR14460701	2172
SRR14460700	2172
SRR14460699	2172
SRR14563271	2173
SRR14563272	2174
SRR14563273	2175
SRR14563274	2173
SRR14563275	2174
SRR14563276	2175
SRR14563277	2173
SRR14563278	2174
SRR14563279	2175
SRR2096257	209
SRR2096258	209
SRR2096259	208
SRR2096260	208
SRR2106325	2176
SRR2106326	2176
SRR2106331	2177
SRR2106332	2177
SRR2106337	2178
SRR2106338	2178
SRR2106339	2179
SRR2106340	2179
SRR14690790	432
SRR14690791	432
SRR14690792	432
SRR14690793	433
SRR14690794	433
SRR14690795	433
SRR14690796	431
SRR14690797	431
SRR14690798	431
SRR14690799	436
SRR14690800	436
SRR14690801	436
SRR14690802	435
SRR14690803	435
SRR14690804	435
SRR14690805	434
SRR14690806	434
SRR14690807	434
SRR14690808	437
SRR14690809	437
SRR14690810	437
SRR14829725	2188
SRR14829723	2188
SRR14829721	2189
SRR14829720	2189
SRR15051106	2190
SRR15051107	2190
SRR15051108	2191
SRR15051109	2191
SRR15051110	2192
SRR15051111	2192
SRR15051112	2193
SRR15051113	2193
SRR15108224	2194
SRR15108225	2194
SRR15108226	2194
SRR15108227	2195
SRR15108228	2195
SRR15108229	2195
SRR15108230	2196
SRR15108231	2196
SRR15108232	2196
SRR15108233	2197
SRR15108234	2197
SRR15108235	2197
SRR15144508	2198
SRR15144507	2199
SRR15144506	2200
SRR15144505	2201
SRR15144504	2202
SRR15144476	2203
SRR15144475	2204
SRR15144474	2205
SRR15144473	2206
SRR15147206	2207
SRR15147207	2207
SRR15147208	2208
SRR15147209	2208
SRR15147210	2209
SRR15147211	2209
SRR15147212	2210
SRR15147213	2210
SRR15202781	2211
SRR15202782	2211
SRR15202783	2211
SRR15202784	2212
SRR15202785	2212
SRR15202786	2212
SRR15202787	2213
SRR15202788	2213
SRR15202789	2213
SRR15202790	2214
SRR15202791	2214
SRR15202792	2214
SRR15202793	2215
SRR15202794	2215
SRR15202795	2215
SRR15202796	2216
SRR15202797	2216
SRR15202798	2216
SRR15202799	2217
SRR15202800	2217
SRR15202801	2217
SRR15202802	2218
SRR15202803	2218
SRR15202804	2218
SRR15202805	2219
SRR15202806	2219
SRR15202807	2219
SRR15217144	2220
SRR15217145	2220
SRR15217146	2221
SRR15217147	2221
SRR15217148	2221
SRR15217151	2223
SRR15217152	2223
SRR15217153	2223
SRR15217154	2224
SRR15217155	2224
SRR15217156	2224
